theta,pi_theta,marginal_return,s_star
0.4117214152804584,0.2558975046518396,-0.008266675604739145,0.0
0.6970781868999665,0.15602263458501173,0.004717057503948473,0.047170575039484734
0.7114711408347768,0.1509851007078281,0.005371936907982343,0.05371936907982343
0.7604703251620781,0.13383538619327268,0.00760139979487455,0.0760139979487455
0.23147271190899096,0.3189845508318532,-0.016467991608140917,0.0
0.7468222110214243,0.13861222614250146,0.006980410601474807,0.06980410601474807
0.8376600028939442,0.10681899898711955,0.011113530131674456,0.11113530131674457
0.39693442501112514,0.2610729512461062,-0.008939483661993809,0.0
0.40599882681838667,0.25790041061356467,-0.008527053379763411,0.0
0.43913021480645464,0.24630442481774087,-0.0070195752263063176,0.0
0.7326210598781993,0.14358262904263025,0.006334258224458066,0.06334258224458066
0.33326525229018605,0.2833571616984349,-0.011836431020796536,0.0
0.2949028074424477,0.2967840173951433,-0.013581922261368635,0.0
0.5307842616145855,0.2142255084348951,-0.0028493160965363667,0.0
0.8244115967868791,0.11145594112459228,0.010510727653803,0.10510727653803001
0.8189482043699896,0.11336812847050365,0.010262143298834523,0.10262143298834522
0.45408493112927956,0.24107027410475215,-0.0063391356336177825,0.0
0.30517808261834356,0.2931876710835798,-0.01311439724086538,0.0
0.5330312461822728,0.2134390638362045,-0.0027470782987065873,0.0
0.5934379269201747,0.19229672557793884,1.4256748679490616e-06,1.4256748679490616e-05
0.7185924155947075,0.14849265454185234,0.0056959549095591915,0.056959549095591915
0.40876107570900344,0.2569336235018488,-0.008401371055240348,0.0
0.4994190877141566,0.2252033193000452,-0.00427643150900588,0.0
0.42760332370567655,0.2503388367030132,-0.0075440487713917224,0.0
0.7438923413165017,0.13963768053922437,0.006847101529900829,0.06847101529900829
0.6235777445198434,0.1817477894180548,0.0013727873756528737,0.013727873756528737
0.611867265969105,0.18584645691081325,0.0008399606015942751,0.008399606015942751
0.4333018136303364,0.24834436522938227,-0.007284767479819699,0.0
0.3167761586844274,0.28912834446045044,-0.012586684779858557,0.0
0.11349237960132424,0.3602776671395365,-0.021836096728139753,0.0
0.5959861509671205,0.19140484716150782,0.000117369869003979,0.00117369869003979
0.1661696355371875,0.3418406275619844,-0.019439281583057976,0.0
0.7009089691819874,0.15468186078630441,0.0048913580977804245,0.048913580977804245
0.26899615165657476,0.30585134692019883,-0.014760675099625854,0.0
0.19165819515133514,0.3329196316970327,-0.018279552120614256,0.0
0.8317635303232163,0.10888276438687433,0.010845240629706335,0.10845240629706335
0.7230679901059893,0.14692620346290375,0.0058995935498225086,0.058995935498225086
0.21543403943691672,0.3245980861970792,-0.0171977512056203,0.0
0.9185071860359869,0.0785224848874046,0.0147920769646374,0.14792076964637402
0.6706377580333015,0.16527678468834447,0.003514017990515216,0.03514017990515216
0.34926984867359584,0.2777555529642415,-0.011108221885351394,0.0
0.6496527486625202,0.17262153796811794,0.0025592000641446663,0.025592000641446663
0.18428614475158972,0.3354998493369436,-0.018614980413802672,0.0
0.5216818803012587,0.21741134189455946,-0.0032634744462927343,0.0
0.5361695522693092,0.2123406567057418,-0.002604285371746437,0.0
0.5477337257210142,0.20829319599764504,-0.0020781154796938595,0.0
0.2049325103365064,0.32827362138222277,-0.017675570779688964,0.0
0.6453818350185041,0.17411635774352358,0.0023648734933419333,0.023648734933419333
0.24985690494352147,0.3125500832697675,-0.01563151082506978,0.0
0.2350302816896195,0.3177394014086332,-0.01630612218312232,0.0
0.8030695579691627,0.11892565471079308,0.009539664887596897,0.09539664887596896
0.7512842709070016,0.13705050518254946,0.007183434326268567,0.07183434326268567
0.47454201700754267,0.23391029404736008,-0.005408338226156814,0.0
0.34901108930150393,0.2778461187444736,-0.011119995436781573,0.0
